FR___101	FR___102	-1
FR___102	FR___103	-1
FR___103	FR___104	-1
FR___104	FR___210	-1
FR___104	FR___215	-1
FR___211	FR___301	0
FR___211	FR___301	-1
FR___212	FR___301	0
FR___212	FR___301	-1
FR___213	FR___301	-1
FR___213	FR___301	0
FR___214	FR___301	-1
FR___214	FR___301	0
FR___211	FR___302	0
FR___211	FR___302	-1
FR___212	FR___302	-1
FR___212	FR___302	0
FR___213	FR___302	0
FR___213	FR___302	-1
FR___214	FR___302	-1
FR___214	FR___302	0
FR___300	FR___303	0
FR___301	FR___303	0
FR___302	FR___303	0
FR___211	FR___398	-1
FR___212	FR___398	-1
FR___213	FR___398	-1
FR___214	FR___398	-1
FR___300	FR___417	0
FR___301	FR___417	0
FR___302	FR___417	0
FR___300	FR___418	0
FR___301	FR___418	0
FR___302	FR___418	0
FR___300	FR___420	0
FR___301	FR___420	0
FR___302	FR___420	0
FR___300	FR___422	0
FR___301	FR___422	0
FR___302	FR___422	0
FR___300	FR___464	0
FR___301	FR___464	0
FR___302	FR___464	0
FR___470	FR___471	0
