OT___350	OT___494	-1
OT___502	OT___522	0
OT___511	OT___522	-1
OT___512	OT___522	-1
OT___516	OT___522	-1
OT___526	OT___522	-1
OT___502	OT___523	-1
OT___511	OT___523	-1
OT___512	OT___523	-1
OT___516	OT___523	-1
OT___526	OT___523	-1
OT___502	OT___535	0
OT___524	OT___535	-1
OT___526	OT___535	-1
OT___529	OT___535	-1
OT___516	OT___538	-1
OT___519	OT___538	0
OT___526	OT___538	-1
OT___529	OT___538	-1
OT___519	OT___548	0
OT___522	OT___548	-1
OT___523	OT___548	-1
OT___529	OT___548	-1
OT___535	OT___548	0
OT___538	OT___548	0
OT___564	OT___548	-1
OT___519	OT___549	0
OT___522	OT___549	-1
OT___523	OT___549	-1
OT___529	OT___549	-1
OT___535	OT___549	0
OT___538	OT___549	0
OT___564	OT___549	-1
DHD__440	OT___551	0
OT___500	OT___558	-1
OT___510	OT___558	-1
OT___524	OT___564	-1
OT___529	OT___564	-1
OT___510	OT___570	-1
OT___647	OT___648	0
OT___640	OT___649	0
OT___641	OT___649	0
OT___645	OT___649	0
OT___646	OT___649	0
OT___647	OT___649	0
OT___648	OT___649	0
OT___695	OT___649	0
OT___649	OT___650	0
OT___654	OT___668	0
OT___655	OT___668	0
OT___650	OT___669	0
OT___654	OT___669	0
OT___655	OT___669	0
OT___668	OT___678	0
OT___669	OT___678	0
OT___690	OT___678	0
OT___668	OT___679	0
OT___669	OT___679	0
OT___690	OT___679	0
OT___654	OT___690	0
OT___655	OT___690	0
