BHIS___399	1,2,3,4
BHIS___405	3
BHIS___406	2
BHIS___410	3
BHIS___428	3
BHIS___437	3
BHIS___460	1
BHIS___461	2
BHIS___480	3
BHIS___499	1
BHIS___501	4
BHIS___503	3
BHIS___504	3
BHIS___505	3
BHIS___507	3
BHIS___509	3
BHIS___510	3
BHIS___511	2
BHIS___514	2
BHIS___515	3
BHIS___517	3
BHIS___520	3
BHIS___522	3
BHIS___523	3
BHIS___525	3
BHIS___527	3
BHIS___528	3
BHIS___529	3
BHIS___530	3
BHIS___531	3
BHIS___532	3
BHIS___535	3
BHIS___537	3
BHIS___538	3
BHIS___540	3
BHIS___542	3
BHIS___543	3
BHIS___546	3
BHIS___554	3
BHIS___561	3
BHIS___567	3
BHIS___570	3
BHIS___575	3
BHIS___580	3
BHIS___592	1
BHIS___593	1
BHIS___595	1
BHIS___596	1,2,3,4,5
BHIS___597	0,1,2,3,4,5,6
BHIS___598	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
BHIS___599	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
