CLER___601	1,2,3,4,5,6,7
CLER___602	1,2,3,4,5,6,7
CLER___603	1,2,3,4,5,6,7
CLER___604	1,2,3,4,5,6,7,8,9
CLER___605	1,2,3,4,5,6,7,8,9,10,11,12,13
CLER___606	1,2,3,4,5,6,7
CLER___608	2
CLER___610	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
CLER___611	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
CLER___612	2,3,4,5
CLER___613	1
CLER___614	1
CLER___616	1,2,3,4,5,6,7
CLER___617	1,2,3,4,5,6,7
CLER___618	1,2,3,4,5,6,7
CLER___619	1,2,3,4,5,6,7,8,9
CLER___620	1,2,3,4,5,6,7,8,9,10,11,12,13
CLER___621	1,2,3,4,5,6,7
CLER___622	4
CLER___623	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
CLER___624	16
CLER___625	2,3,4,5
CLER___631	1,2,3,4,5,6,7
CLER___632	1,2,3,4,5,6,7
CLER___633	1,2,3,4,5,6,7
CLER___634	1,2,3,4,5,6,7,8,9,10,11,12,13
CLER___635	1,2,3,4,5,6,7,8,9,10,11,12,13
CLER___637	1,2,3,4,5,6,7
CLER___639	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
CLER___640	16
CLER___641	1
CLER___642	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
