ITAL___101	ITAL___102	-1
ITAL___102	ITAL___103	-1
ITAL___102	ITAL___103	0
ITAL___140	ITAL___103	-1
ITAL___103	ITAL___104	0
ITAL___104	ITAL___200	-1
ITAL___104	ITAL___201	-1
ITAL___104	ITAL___210	-1
ITAL___200	ITAL___300	-1
ITAL___201	ITAL___300	-1
ITAL___210	ITAL___300	-1
ITAL___200	ITAL___301	-1
ITAL___201	ITAL___301	-1
ITAL___210	ITAL___301	-1
ITAL___280	ITAL___301	-1
ITAL___200	ITAL___302	-1
ITAL___201	ITAL___302	-1
ITAL___210	ITAL___302	-1
ITAL___200	ITAL___303	-1
ITAL___201	ITAL___303	-1
ITAL___210	ITAL___303	-1
