FR___101	FR___102	-1
FR___102	FR___103	0
FR___103	FR___104	0
FR___104	FR___210	0
FR___104	FR___215	0
FR___211	FR___301	-1
FR___212	FR___301	-1
FR___213	FR___301	-1
FR___214	FR___301	-1
FR___211	FR___302	-1
FR___212	FR___302	-1
FR___213	FR___302	-1
FR___214	FR___302	-1
FR___300	FR___303	-1
FR___301	FR___303	-1
FR___302	FR___303	-1
FR___211	FR___398	-1
FR___212	FR___398	-1
FR___213	FR___398	-1
FR___214	FR___398	-1
FR___300	FR___417	-1
FR___301	FR___417	-1
FR___302	FR___417	-1
FR___300	FR___418	-1
FR___301	FR___418	-1
FR___302	FR___418	-1
FR___300	FR___420	-1
FR___301	FR___420	-1
FR___302	FR___420	-1
FR___300	FR___422	-1
FR___301	FR___422	-1
FR___302	FR___422	-1
FR___300	FR___464	-1
FR___301	FR___464	-1
FR___302	FR___464	-1
FR___470	FR___471	-1
