MATH___121	PHYS___100	-1
PHYS___105	PHYS___131	-1
PHYS___141	PHYS___131	-1
PHYS___105	PHYS___132	-1
PHYS___106	PHYS___132	-1
PHYS___107	PHYS___132	-1
PHYS___131	PHYS___132	-1
PHYS___142	PHYS___132	-1
PHYS___100	PHYS___141	-1
MATH___180	PHYS___141	-1
PHYS___141	PHYS___142	-1
MATH___181	PHYS___142	-1
PHYS___107	PHYS___215	-1
PHYS___132	PHYS___215	-1
PHYS___142	PHYS___215	-1
MATH___181	PHYS___215	-1
MATH___210	PHYS___215	-1
PHYS___107	PHYS___230	-1
PHYS___132	PHYS___230	-1
PHYS___142	PHYS___230	-1
MATH___181	PHYS___230	-1
PHYS___107	PHYS___240	-1
PHYS___132	PHYS___240	-1
PHYS___142	PHYS___240	-1
MATH___181	PHYS___240	-1
PHYS___241	PHYS___240	0
PHYS___107	PHYS___241	-1
PHYS___132	PHYS___241	-1
PHYS___142	PHYS___241	-1
MATH___181	PHYS___241	-1
PHYS___240	PHYS___241	-1
PHYS___107	PHYS___245	-1
PHYS___132	PHYS___245	-1
PHYS___142	PHYS___245	-1
MATH___181	PHYS___245	-1
MATH___220	PHYS___245	-1
PHYS___141	PHYS___260	-1
MATH___181	PHYS___260	-1
PHYS___230	PHYS___402	0
PHYS___401	PHYS___402	0
PHYS___215	PHYS___411	0
MATH___220	PHYS___411	-1
PHYS___240	PHYS___411	0
PHYS___245	PHYS___411	0
PHYS___411	PHYS___412	0
PHYS___411	PHYS___421	-1
PHYS___240	PHYS___425	0
PHYS___411	PHYS___431	0
PHYS___461	PHYS___431	0
PHYS___215	PHYS___441	0
PHYS___245	PHYS___441	-1
PHYS___245	PHYS___450	-1
PHYS___411	PHYS___451	0
PHYS___245	PHYS___461	0
PHYS___107	PHYS___469	-1
PHYS___108	PHYS___469	0
PHYS___142	PHYS___469	0
PHYS___240	PHYS___481	0
PHYS___499	PHYS___481	-1
PHYS___215	PHYS___491	0
PHYS___412	PHYS___511	-1
PHYS___511	PHYS___512	-1
PHYS___215	PHYS___515	0
PHYS___511	PHYS___531	0
PHYS___512	PHYS___532	0
PHYS___531	PHYS___532	-1
PHYS___532	PHYS___533	-1
ECE___346	PHYS___540	-1
PHYS___502	PHYS___545	0
PHYS___541	PHYS___545	-1
PHYS___513	PHYS___551	-1
PHYS___551	PHYS___552	-1
PHYS___450	PHYS___571	0
PHYS___571	PHYS___572	0
PHYS___431	PHYS___581	-1
PHYS___512	PHYS___594	0
