PMPR___300	1,2,3,4
PMPR___315	1
PMPR___316	1
PMPR___317	1
PMPR___318	1
PMPR___319	1
PMPR___320	1
PMPR___321	2
PMPR___327	1
PMPR___328	2
PMPR___329	1
PMPR___330	1
PMPR___334	1
PMPR___337	2
PMPR___338	2
PMPR___339	2
PMPR___347	2
PMPR___348	2
PMPR___349	2
PMPR___356	2
PMPR___358	1
PMPR___359	2
PMPR___362	2
PMPR___370	1
PMPR___376	2
PMPR___378	2
PMPR___379	2
PMPR___380	1,2,3,4
PMPR___381	2
PMPR___383	2
PMPR___385	1,2,3,4,5
PMPR___390	1,2,3
PMPR___430	2
PMPR___442	2
PMPR___445	2
PMPR___450	1
PMPR___485	2
PMPR___486	1
PMPR___487	2
PMPR___488	2
PMPR___536	3
PMPR___615	4
PMPR___616	4
PMPR___617	4
PMPR___618	4
PMPR___619	4
PMPR___620	4
PMPR___621	4
PMPR___622	4
PMPR___623	4
PMPR___624	4
PMPR___625	4
